,Pathways,ListReactions,SetSize,P-value,P-valueadj,Reject
86,Transport,2187,3743,1.3340225218989233e-112,2.6680450437978465e-111,True
60,Nucleotide interconversion,194,164,0.0,0.0,True
22,Drug metabolism,152,573,0.000979598551226291,0.0024489963780657278,True
26,Fatty acid oxidation,147,952,1.8002334701429214e-37,2.2502918376786517e-36,True
23,Eicosanoid metabolism,75,93,5.780261575375537e-24,5.2547832503413973e-23,True
93,Vitamin A metabolism,42,47,2.3483872047276813e-17,1.8064516959443701e-16,True
55,Miscellaneous,37,139,0.04889716912668938,0.07086546250244838,False
35,Glycolysis/gluconeogenesis,25,42,4.797612311566522e-05,0.00015476168746988782,True
7,Bile acid synthesis,25,185,3.569262155705124e-08,1.8785590293184863e-07,True
5,Arginine and proline metabolism,24,40,5.634341989566506e-05,0.0001760731871739533,True
66,Pentose phosphate pathway,24,41,9.546624605659983e-05,0.0002807830766370583,True
82,Steroid metabolism,23,90,0.06072026253850881,0.08433369797015113,False
84,Tetrahydrobiopterin metabolism,21,18,0.0,0.0,True
89,Tyrosine metabolism,18,93,0.006297782002515739,0.012348592161795567,True
28,Folate metabolism,17,59,0.1120008555659905,0.14986090600866184,False
76,Pyruvate metabolism,17,32,0.003371699198868505,0.007329780867105446,True
16,Citric acid cycle,16,20,4.709382360540066e-06,1.7442156890889132e-05,True
75,Pyrimidine synthesis,16,21,1.38994004913883e-05,4.6331334971294335e-05,True
97,Vitamin C metabolism,15,10,0.0,0.0,True
33,Glycerophospholipid metabolism,12,165,2.382563566553808e-13,1.588375711035872e-12,True
32,Glutathione metabolism,10,16,0.005405093801123215,0.01081018760224643,True
3,Androgen and estrogen synthesis and metabolism,9,26,0.1426523895446533,0.17831548693081664,False
72,Purine catabolism,9,34,0.13897418301476613,0.17591668736046345,False
74,Pyrimidine catabolism,8,34,0.11239567950649638,0.14986090600866184,False
69,Phosphatidylinositol phosphate metabolism,6,40,0.015163324490061244,0.0248579090001004,True
31,Glutamate metabolism,6,16,0.16407950576682354,0.20182980836928546,False
73,Purine synthesis,5,15,0.2057795648267133,0.24209360567848626,False
13,Cholesterol metabolism,4,242,8.000835069089755e-33,8.889816743433061e-32,True
54,Methionine and cysteine metabolism,4,46,0.00040617546930736624,0.00104147556232658,True
88,Tryptophan metabolism,3,45,0.00011755338685040608,0.0003358668195725888,True
20,D-alanine metabolism,3,3,0.026624627238094077,0.042261313076339804,True
49,Leukotriene metabolism,3,8,0.25334026027416107,0.28465197783613605,False
68,Phenylalanine metabolism,2,36,0.0003068752933704685,0.00082939268478505,True
59,NAD metabolism,2,27,0.004284617975346953,0.009116208458185006,True
53,Lysine metabolism,2,31,0.0013577469426510427,0.003232730815835816,True
81,Starch and sucrose metabolism,1,42,5.521372559793406e-06,1.9719187713547877e-05,True
44,Inositol phosphate metabolism,1,65,2.121985432621023e-09,1.1788807959005682e-08,True
67,Peptide metabolism,0,242,1.3398234515238572e-39,2.2330390858730953e-38,True
65,Oxidative phosphorylation,0,10,0.028656144854490265,0.04408637669921579,True
64,O-glycan metabolism,0,18,0.0016565566982562796,0.003681237107236177,True
63,Nucleotide sugar metabolism,0,1,0.7013869232946504,0.7013869232946504,False
62,Nucleotide salvage pathway,0,3,0.3449180570682723,0.3708796312562067,False
61,Nucleotide metabolism,0,1,0.7013869232946504,0.7013869232946504,False
70,Propanoate metabolism,0,15,0.004828986580631766,0.009855074654350543,True
0,Alanine and aspartate metabolism,0,13,0.00984824223141406,0.01727761794984923,True
71,Protein formation,0,1,0.7013869232946504,0.7013869232946504,False
77,R group synthesis,0,6,0.11883934624014784,0.15235813620531774,False
78,ROS detoxification,0,7,0.08329202659159178,0.11409866656382436,False
79,Sphingolipid metabolism,0,133,1.1012879399692497e-21,9.177399499743748e-21,True
83,Taurine and hypotaurine metabolism,0,8,0.058370591084212595,0.0822121001186093,False
85,Thiamine metabolism,0,6,0.11883934624014784,0.15235813620531774,False
87,Triacylglycerol synthesis,0,9,0.040900838560056586,0.06014829200008321,False
90,Ubiquinone synthesis,0,18,0.0016565566982562796,0.003681237107236177,True
91,Urea cycle,0,40,6.269015318566381e-07,2.4111597379101465e-06,True
92,"Valine, leucine, and isoleucine metabolism",0,45,1.0372262065274647e-07,4.5096791588150637e-07,True
94,Vitamin B12 metabolism,0,1,0.7013869232946504,0.7013869232946504,False
95,Vitamin B2 metabolism,0,9,0.040900838560056586,0.06014829200008321,False
96,Vitamin B6 metabolism,0,11,0.020074776470645886,0.032378671726848204,True
98,Vitamin D metabolism,0,13,0.00984824223141406,0.01727761794984923,True
80,Squalene and cholesterol synthesis,0,5,0.1695370390301998,0.20182980836928546,False
50,Limonene and pinene degradation,0,3,0.3449180570682723,0.3708796312562067,False
58,N-glycan synthesis,0,18,0.0016565566982562796,0.003681237107236177,True
14,Chondroitin sulfate degradation,0,44,1.4867766310200688e-07,6.194902629250287e-07,True
25,Extracellular exchange,0,1560,0.0,0.0,True
24,Exchange/demand reaction,0,3,0.3449180570682723,0.3708796312562067,False
21,Dietary fiber binding,0,12,0.01406148043773492,0.0234358007295582,True
19,Cytochrome metabolism,0,15,0.004828986580631766,0.009855074654350543,True
18,CoA synthesis,0,14,0.006896578999858933,0.012539234545198058,True
17,CoA catabolism,0,4,0.2418335086684529,0.27481080530506014,False
15,Chondroitin synthesis,0,45,1.0372262065274647e-07,4.5096791588150637e-07,True
12,C5-branched dibasic acid metabolism,0,8,0.058370591084212595,0.0822121001186093,False
29,Fructose and mannose metabolism,0,23,0.0002778006817524196,0.0007716685604233877,True
11,Butanoate metabolism,0,3,0.3449180570682723,0.3708796312562067,False
10,Blood group synthesis,0,47,5.04624318496743e-08,2.402972945222586e-07,True
9,Biotin metabolism,0,12,0.01406148043773492,0.0234358007295582,True
8,Biomass and maintenance functions,0,4,0.2418335086684529,0.27481080530506014,False
6,Beta-Alanine metabolism,0,10,0.028656144854490265,0.04408637669921579,True
4,Arachidonic acid metabolism,0,41,4.3756359174732506e-07,1.7502543669893002e-06,True
2,Aminosugar metabolism,0,32,1.1080075593477106e-05,3.820715721888658e-05,True
27,Fatty acid synthesis,0,239,4.26009810533379e-39,6.085854436191128e-38,True
30,Galactose metabolism,0,14,0.006896578999858933,0.012539234545198058,True
57,N-glycan metabolism,0,6,0.11883934624014784,0.15235813620531774,False
45,Intracellular demand,0,151,1.3509091695036863e-24,1.3509091695036862e-23,True
56,N-glycan degradation,0,12,0.01406148043773492,0.0234358007295582,True
52,Lipoate metabolism,0,1,0.7013869232946504,0.7013869232946504,False
51,Linoleate metabolism,0,9,0.040900838560056586,0.06014829200008321,False
1,Alkaloid synthesis,0,1,0.7013869232946504,0.7013869232946504,False
48,Keratan sulfate synthesis,0,22,0.00039713093946546537,0.00104147556232658,True
47,Keratan sulfate degradation,0,76,1.3854998399096906e-12,8.659373999435567e-12,True
46,Intracellular source/sink,0,95,1.3437544000598118e-15,9.59824571471294e-15,True
43,Hyaluronan metabolism,0,5,0.1695370390301998,0.20182980836928546,False
34,"Glycine, serine, alanine, and threonine metabolism",0,47,5.04624318496743e-08,2.402972945222586e-07,True
42,Histidine metabolism,0,14,0.006896578999858933,0.012539234545198058,True
41,Hippurate metabolism,0,2,0.49188432643284963,0.5232811983328188,False
40,Heparan sulfate degradation,0,27,6.643572964545316e-05,0.00020132039286500957,True
39,Heme synthesis,0,19,0.0011593577380859387,0.0028277018002096066,True
38,Heme degradation,0,4,0.2418335086684529,0.27481080530506014,False
37,Glyoxylate and dicarboxylate metabolism,0,14,0.006896578999858933,0.012539234545198058,True
36,Glycosphingolipid metabolism,0,71,8.536861551489689e-12,5.02168326558217e-11,True
99,Vitamin E metabolism,0,5,0.1695370390301998,0.20182980836928546,False
