Var1,Var2
AGTim,Alanine and aspartate metabolism
ARGSS,Alanine and aspartate metabolism
ASNNm,Alanine and aspartate metabolism
ASNS1,Alanine and aspartate metabolism
ASPNATm,Alanine and aspartate metabolism
ASPTAm,Alanine and aspartate metabolism
DASPO1p,Alanine and aspartate metabolism
NACASPAH,Alanine and aspartate metabolism
ASPTA,Alanine and aspartate metabolism
ASNN,Alanine and aspartate metabolism
ARGSL,Alanine and aspartate metabolism
AGTix,Alanine and aspartate metabolism
ALAR,Alanine and aspartate metabolism
COKECBESr,Alkaloid synthesis
ACGAMK,Aminosugar metabolism
ACGAMPM,Aminosugar metabolism
ACNML,Aminosugar metabolism
ACNMCT,Aminosugar metabolism
UAG2EMA,Aminosugar metabolism
UAGALDP,Aminosugar metabolism
r0013,Aminosugar metabolism
r0113,Aminosugar metabolism
r0782,Aminosugar metabolism
r1374,Aminosugar metabolism
r1375,Aminosugar metabolism
UAG4Ei,Aminosugar metabolism
UAGDP,Aminosugar metabolism
AMANK,Aminosugar metabolism
ACGAM2E,Aminosugar metabolism
HMR_4124,Aminosugar metabolism
ACGALK,Aminosugar metabolism
ACGALK2,Aminosugar metabolism
ACGAM6PS,Aminosugar metabolism
ACNAM9PL,Aminosugar metabolism
ACNAM9PL2,Aminosugar metabolism
ACNAMPH,Aminosugar metabolism
CHTNASE,Aminosugar metabolism
CHTNASEe,Aminosugar metabolism
CMPSASn,Aminosugar metabolism
GF6PTA,Aminosugar metabolism
AGDC,Aminosugar metabolism
G6PDA,Aminosugar metabolism
HEX10,Aminosugar metabolism
KDNH,Aminosugar metabolism
r0363,Aminosugar metabolism
r0364,Aminosugar metabolism
RE1587C,Androgen and estrogen synthesis and metabolism
RE1630C,Androgen and estrogen synthesis and metabolism
RE1632C,Androgen and estrogen synthesis and metabolism
RE2386C,Androgen and estrogen synthesis and metabolism
RE3013C,Androgen and estrogen synthesis and metabolism
RE3108C,Androgen and estrogen synthesis and metabolism
HMR_1944,Androgen and estrogen synthesis and metabolism
HMR_1958,Androgen and estrogen synthesis and metabolism
HMR_1962,Androgen and estrogen synthesis and metabolism
HMR_1968,Androgen and estrogen synthesis and metabolism
HMR_1971,Androgen and estrogen synthesis and metabolism
HMR_2016,Androgen and estrogen synthesis and metabolism
HMR_1982,Androgen and estrogen synthesis and metabolism
HMR_1983,Androgen and estrogen synthesis and metabolism
HMR_2018,Androgen and estrogen synthesis and metabolism
HMR_2029,Androgen and estrogen synthesis and metabolism
HMR_2088,Androgen and estrogen synthesis and metabolism
HMR_2089,Androgen and estrogen synthesis and metabolism
RE2235C,Androgen and estrogen synthesis and metabolism
RE2235R,Androgen and estrogen synthesis and metabolism
RE3218C,Androgen and estrogen synthesis and metabolism
RE3220C,Androgen and estrogen synthesis and metabolism
HMR_1967,Androgen and estrogen synthesis and metabolism
HMR_1970,Androgen and estrogen synthesis and metabolism
HMR_1976,Androgen and estrogen synthesis and metabolism
HMR_2014,Androgen and estrogen synthesis and metabolism
RE2563C,Arachidonic acid metabolism
RE3036C,Arachidonic acid metabolism
RE3041C,Arachidonic acid metabolism
RE3044C,Arachidonic acid metabolism
RE3476C,Arachidonic acid metabolism
RE3476M,Arachidonic acid metabolism
RE3286C,Arachidonic acid metabolism
RE3287C,Arachidonic acid metabolism
RE3288C,Arachidonic acid metabolism
RE3289C,Arachidonic acid metabolism
RE3513C,Arachidonic acid metabolism
RE3513R,Arachidonic acid metabolism
RE3520E,Arachidonic acid metabolism
RE3525M,Arachidonic acid metabolism
RE3526C,Arachidonic acid metabolism
RE3526M,Arachidonic acid metabolism
HMR_0960,Arachidonic acid metabolism
HMR_0985,Arachidonic acid metabolism
HMR_0986,Arachidonic acid metabolism
HMR_1030,Arachidonic acid metabolism
HMR_1033,Arachidonic acid metabolism
HMR_1037,Arachidonic acid metabolism
HMR_1039,Arachidonic acid metabolism
HMR_1077,Arachidonic acid metabolism
RE3033C,Arachidonic acid metabolism
RE3470C,Arachidonic acid metabolism
RE3470M,Arachidonic acid metabolism
RE3475C,Arachidonic acid metabolism
RE3525C,Arachidonic acid metabolism
RE3525R,Arachidonic acid metabolism
HMR_0942,Arachidonic acid metabolism
HMR_0946,Arachidonic acid metabolism
HMR_0950,Arachidonic acid metabolism
HMR_0954,Arachidonic acid metabolism
HMR_0963,Arachidonic acid metabolism
HMR_0979,Arachidonic acid metabolism
HMR_0981,Arachidonic acid metabolism
HMR_0987,Arachidonic acid metabolism
RE3038C,Arachidonic acid metabolism
RE3040C,Arachidonic acid metabolism
HMR_0980,Arachidonic acid metabolism
ADMDC,Arginine and proline metabolism
AGMTm,Arginine and proline metabolism
APRTO2,Arginine and proline metabolism
ARGDCm,Arginine and proline metabolism
DARGOp,Arginine and proline metabolism
MDRPD,Arginine and proline metabolism
NABTNO,Arginine and proline metabolism
NOS2_2,Arginine and proline metabolism
P5CRm,Arginine and proline metabolism
PHCHGSm,Arginine and proline metabolism
PROD2m,Arginine and proline metabolism
PTRCOX1,Arginine and proline metabolism
NOS2,Arginine and proline metabolism
HPROx,Arginine and proline metabolism
HPROxm,Arginine and proline metabolism
HPROb,Arginine and proline metabolism
P5CR,Arginine and proline metabolism
PROD2,Arginine and proline metabolism
4HGLSDm,Arginine and proline metabolism
DDPGAm,Arginine and proline metabolism
DKMPPD,Arginine and proline metabolism
DORNOp,Arginine and proline metabolism
EHGLAT2m,Arginine and proline metabolism
EHGLATm,Arginine and proline metabolism
MTRI,Arginine and proline metabolism
ARGDr,Arginine and proline metabolism
HMR_4422,Arginine and proline metabolism
PROAKGOX1,Arginine and proline metabolism
HMR_4777,Arginine and proline metabolism
HMR_4782,Arginine and proline metabolism
HMR_4783,Arginine and proline metabolism
G5SADrm,Arginine and proline metabolism
MTAP,Arginine and proline metabolism
NOS1,Arginine and proline metabolism
P5CRxm,Arginine and proline metabolism
PHCDm,Arginine and proline metabolism
PTRCAT1,Arginine and proline metabolism
r0145,Arginine and proline metabolism
HPROym,Arginine and proline metabolism
r0686,Arginine and proline metabolism
13DAMPPOX,Beta-Alanine metabolism
NBAHH_ir,Beta-Alanine metabolism
SPMDOX,Beta-Alanine metabolism
ASP1DC,Beta-Alanine metabolism
HMR_4079,Beta-Alanine metabolism
APAT2rm,Beta-Alanine metabolism
BAMPPALDOX,Beta-Alanine metabolism
ABUTD,Beta-Alanine metabolism
SMOX,Beta-Alanine metabolism
r0283,Beta-Alanine metabolism
AKR1C41,Bile acid synthesis
AKR1D,Bile acid synthesis
AMACR2p,Bile acid synthesis
AMACRp,Bile acid synthesis
BAAT1x,Bile acid synthesis
BAAT3x,Bile acid synthesis
CH25H,Bile acid synthesis
HSD17B42x_1,Bile acid synthesis
HSD17B4x,Bile acid synthesis
HSD3B7P,Bile acid synthesis
P45027A11m,Bile acid synthesis
P45027A13m,Bile acid synthesis
P45027A14m,Bile acid synthesis
P45027A15m,Bile acid synthesis
P45046A1r,Bile acid synthesis
P4507A1r,Bile acid synthesis
P4507B11r,Bile acid synthesis
