BiGG_ID,CF_CD,MF_CD,Healthy
100_AT1,2.939931423,7.604512898,13.70284332
10005_AT1,6.612851813,9.413782658,1.480296071
10007_AT1,32.05709601,4.637807262,59.44701143
100137049_AT1,23.83127215,35.56950235,6.976982837
10020_AT1,19.19188087,48.12051717,4.570916698
10026_AT1,71.45896963,1.560843288,67.90478932
100288072_AT1,19.22373594,17.45202121,10.10340932
10050_AT1,9.59926547,12.32572332,16.4061077
10057_AT1,3.623252446,23.75990572,6.477707337
10058_AT1,2.3128679,21.2646562,1.372147224
10060_AT1,63.47994631,0.181510278,49.55326695
10090_AT1,20.34874066,34.17706219,7.337578593
10135_AT1,0.029272373,14.65215504,0
10157_AT1,27.12584834,26.14082866,2.107397179
10164_AT1,19.89066966,8.186303346,5.253073654
10165_AT1,6.740398901,48.74904503,4.903953776
10166_AT1,34.79472826,22.74367329,20.35775115
10170_AT1,7.104344352,65.55311547,8.968302234
10195_AT1,31.92377372,19.59146454,15.82466529
10201_AT1,15.50876094,9.077754902,11.36129696
10202_AT1,9.306060249,22.17232451,9.363631675
10229_AT1,10.84076475,41.633701,20.95220775
10246_AT1,27.90190691,5.628529296,12.39854758
10249_AT1,5.756047452,9.244456862,17.75840522
10257_AT1,8.338293536,4.37171863,31.82470415
10312_AT1,17.72672021,21.14364239,4.647961739
10317_AT1,17.23959271,13.20517083,14.87409835
10327_AT1,0.776931555,14.06117789,39.21965951
10331_AT1,14.62988016,4.799189956,16.53938055
10351_AT1,1.547830841,136.9161355,0.545961514
1036_AT1,1.143693617,18.16746618,112.85497
10380_AT1,9.630662131,7.210442528,19.13032874
10390_AT1,45.76102014,54.05627086,64.3061599
10396_AT1,51.16554186,7.83698393,12.16004372
1040_AT1,15.2152685,3.372193865,30.67761428
10400_AT1,3.349432941,25.9629037,4.049577536
10402_AT1,9.390254664,2.196530898,11.8656192
10423_AT1,3.773088122,14.90314249,32.04961961
10449_AT1,0,26.22251047,0
10455_AT1,10.24551005,14.86767548,0
10478_AT1,0.870256543,7.459587524,13.89578451
10553_AT1,14.94543045,18.92394492,8.62804723
10554_AT1,36.89027594,10.30044075,6.499451668
10555_AT1,152.9464822,280.1258358,180.5193953
10558_AT1,24.22641364,12.53806102,32.86814327
10559_AT1,27.03852342,14.31965219,81.89761312
1056_AT1,8.834755386,25.29647455,12.6051423
10560_AT1,1.51557218,1.715955166,73.46777998
10568_AT1,14.09103267,26.90498783,20.099696
10587_AT1,8.272997254,21.11832939,9.766164695
10588_AT1,11.08645494,1.919298355,6.265285074
10599_AT1,15.11743668,13.87469898,8.175026127
10606_AT1,3.577746047,7.41157082,0.678170411
10610_AT1,15.61823061,8.679718006,10.26515872
10654_AT1,26.01500412,56.94281031,11.82887417
1066_AT1,38.04533624,4.714435241,330.960993
10678_AT1,40.55811539,57.1502952,2.303550129
10682_AT1,3.337216033,28.96128904,2.181471361
10690_AT1,15.61727321,12.02636651,20.03449915
107_AT1,26.11948413,17.08515523,11.63277875
10715_AT1,23.62044615,13.53660453,14.10062831
10720_AT1,23.23458874,11.60731174,16.27421343
10723_AT1,3.005961853,25.45807308,24.17449279
10728_AT1,2.002089356,9.211377332,0
10768_AT1,14.02526918,10.34540714,0
10786_AT1,12.72537882,7.591085247,19.00319511
10797_AT1,12.95644587,2.724665924,6.034360652
108_AT1,24.84236316,2.697298112,12.10469396
1080_AT1,16.34341631,11.69856638,15.43321727
10825_AT1,28.41991124,26.01785505,18.57573322
10826_AT1,1.42387307,24.21406073,71.36488251
10840_AT1,6.241067793,14.50973956,0.029851246
10841_AT1,14.56914145,9.800369851,5.855017967
10846_AT1,26.31286805,26.02974985,32.62692872
10858_AT1,20.33914099,6.896326731,22.44219168
10861_AT1,4.756626073,26.86165025,19.83892883
10864_AT1,10.53355901,11.72035569,13.92507234
10870_AT1,48.98438938,20.46953273,7.938382981
10873_AT1,16.97424803,39.21264681,33.29805844
109_AT1,5.364517822,34.3275848,6.881031172
10901_AT1,10.88157274,6.055662435,9.297456532
10905_AT1,4.919892461,1.108418777,37.52124348
10919_AT1,18.59140555,9.814005595,2.418374223
10928_AT1,13.55278836,40.93816506,6.183368255
10935_AT1,166.9741343,133.1467989,160.7267303
10941_AT1,28.13653977,22.52986797,18.58770857
10948_AT1,6.298216461,21.34208494,41.16130542
10965_AT1,9.153586551,26.23511907,15.85220066
10975_AT1,13.32738488,38.13129075,0
10991_AT1,7.25180725,11.43762147,13.55362616
10993_AT1,37.07858809,11.33420871,13.8198219
10998_AT1,16.35702458,19.15720719,11.6329272
10999_AT1,14.56856186,22.21507258,26.61091188
11000_AT1,1.493550496,4.810947907,9.078104755
11001_AT1,25.21320367,11.5131789,4.371867369
1103_AT1,8.976218205,22.42339462,16.00332456
11041_AT1,4.348593555,34.65359907,57.83437354
11046_AT1,7.856378541,12.05952536,7.736071971
1109_AT1,13.09879935,11.52142648,15.03636604
111_AT1,4.581261509,15.07403984,3.624778177
11102_AT1,3.952923643,13.4512269,27.15783849
11112_AT1,0.868416392,12.14614593,0
11136_AT1,10.10597957,11.53009965,12.21303255
11164_AT1,2.554057685,27.47936551,52.14290729
1118_AT1,14.42448684,10.8089545,14.26123506
11181_AT1,18.16917843,16.17097622,12.25301756
11182_AT1,6.745712735,14.432987,26.70516832
11185_AT1,5.098352724,9.220878239,3.942387591
1119_AT1,0.710319658,12.47297742,17.50859204
112_AT1,8.554296738,25.00702774,49.16630755
1120_AT1,27.89978874,16.63470508,28.80440143
11226_AT1,35.11670065,35.40665098,19.11912374
11227_AT1,36.58344159,9.176264541,12.17309791
11238_AT1,13.15096219,6.688349204,1.397204256
112483_AT1,0,0.161718424,78.90858271
11253_AT1,9.032336876,31.42387543,16.26267492
11254_AT1,14.13453462,17.36692913,12.15746794
112611_AT1,3.335647641,1.527241955,17.0946063
